game_id,date_time,game_end,team,q1,q2,q3,q4,total,category,total (bins)
1023,25/09/2022 16:10:00,FT,Pirates,,,,,16,HOME,14.28571429
1026,17/09/2022 16:05:00,FT,ZetechUniversity,,,,,34,HOME,28.57142857
1028,10/09/2022 16:05:00,FT,Umoja,,,,,31,HOME,28.57142857
1034,28/08/2022 16:15:00,FT,EquityBank,,,,,69,HOME,64.28571429
1057,26/06/2022 09:15:00,FT,BaobabBlazers,,,,,69,HOME,64.28571429
1061,19/06/2022 09:00:00,FT,BaobabBlazers,,,,,0,HOME,0
1088,05/12/2021 15:05:00,FT,BaobabBlazers,,,,,48,HOME,42.85714286
1094,27/11/2021 13:55:00,FT,Jkuat,,,,,0,HOME,0
1117,23/10/2021 14:00:00,FT,Terror,,,,,40,HOME,35.71428571
1124,18/09/2021 13:10:00,FT,Umoja,,,,,0,HOME,0
1125,21/03/2021 16:05:00,FT,KCA-U,,,,,63,HOME,57.14285714
1126,21/03/2021 14:00:00,FT,Umoja,,,,,80,HOME,78.57142857
1127,14/03/2021 17:10:00,FT,NairobiCityThunder,,,,,69,HOME,64.28571429
1128,14/03/2021 15:25:00,FT,Blades,,,,,66,HOME,64.28571429
1130,13/03/2021 15:00:00,FT,Blades,,,,,62,HOME,57.14285714
1131,07/03/2021 16:05:00,FT,Blades,,,,,73,HOME,71.42857143
1132,07/03/2021 14:15:00,FT,Umoja,,,,,74,HOME,71.42857143
1133,06/03/2021 16:15:00,FT,Ulinzi,,,,,67,HOME,64.28571429
1134,06/03/2021 14:15:00,FT,Terror,,,,,44,HOME,42.85714286
1135,06/03/2021 12:15:00,FT,NairobiCityThunder,,,,,69,HOME,64.28571429
1136,12/10/2019 16:35:00,FT,Emyba,,,,,35,HOME,28.57142857
1137,12/10/2019 14:55:00,FT,EquityBank,,,,,58,HOME,57.14285714
1138,12/10/2019 11:20:00,FT,Blades,,,,,83,HOME,78.57142857
1139,28/09/2019 16:42:00,FT,Thunder,,,,,82,HOME,78.57142857
1140,28/09/2019 14:50:00,FT,KCA-U,,,,,51,HOME,50
1141,01/09/2019 17:06:00,FT,Emyba,,,,,65,HOME,64.28571429
1142,18/08/2019 14:30:00,FT,WorldHope,,,,,59,HOME,57.14285714
1143,17/08/2019 15:15:00,FT,Blades,,,,,48,HOME,42.85714286
1144,17/08/2019 13:15:00,FT,KCA-U,,,,,47,HOME,42.85714286
1145,10/08/2019 17:30:00,FT,Thunder,,,,,70,HOME,64.28571429
1146,04/08/2019 16:15:00,FT,Umoja,,,,,70,HOME,64.28571429
1147,03/08/2019 17:00:00,FT,Ulinzi,,,,,75,HOME,71.42857143
1148,03/08/2019 15:15:00,FT,EquityBank,,,,,100,HOME,92.85714286
1149,21/07/2019 16:00:00,FT,Umoja,,,,,54,HOME,50
1150,21/07/2019 14:30:00,FT,Ulinzi,,,,,57,HOME,50
1151,20/07/2019 17:15:00,FT,Umoja,,,,,42,HOME,35.71428571
1152,20/07/2019 14:30:00,FT,Emyba,,,,,71,HOME,64.28571429
1153,14/07/2019 16:00:00,FT,Blades,,,,,56,HOME,50
1154,14/07/2019 14:30:00,FT,KCA-U,,,,,63,HOME,57.14285714
1155,13/07/2019 18:00:00,FT,Emyba,,,,,74,HOME,71.42857143
1156,07/07/2019 16:00:00,FT,Blades,,,,,79,HOME,78.57142857
1157,07/07/2019 14:30:00,FT,Emyba,,,,,68,HOME,64.28571429
1158,06/07/2019 16:00:00,FT,Thunder,,,,,72,HOME,71.42857143
1159,06/07/2019 14:30:00,FT,Ulinzi,,,,,74,HOME,71.42857143
1160,06/07/2019 13:30:00,FT,Umoja,,,,,67,HOME,64.28571429
1161,30/06/2019 17:45:00,FT,Blades,,,,,66,HOME,64.28571429
1162,29/06/2019 16:00:00,FT,Blades,,,,,72,HOME,71.42857143
1163,29/06/2019 15:15:00,FT,WorldHope,,,,,52,HOME,50
1164,29/06/2019 15:00:00,FT,WorldHope,,,,,8,HOME,7.142857143
1165,23/06/2019 17:00:00,FT,Thunder,,,,,61,HOME,57.14285714
1166,22/06/2019 16:45:00,FT,Ulinzi,,,,,73,HOME,71.42857143
