FGA,FGM,FG%,2FGA,2FGM,2FG%,3FGA,3FGM,3FG%,FTA,FTM,FT%,OR,DR,TR,ASSISTS,BLOCKS,TURNOVERS,STEALS,PF,GAME_ID,TEAM_NAME,PTS,YEAR
76,33,43.4%,40,23,57.5%,36,10,27.8%,14,9,64.3%,14,27,41,22,7,13,12,20,06e9UWdR,Zamalek,80,2022
65,23,35.4%,40,16,40%,25,7,28%,23,15,65.2%,19,33,52,11,2,22,7,11,06e9UWdR,Cobra Sport,63,2022
59,26,44.1%,35,22,62.9%,24,4,16.7%,24,18,75%,15,30,45,17,7,19,5,12,0ABA9VK1,Monastir,74,2022
69,24,34.8%,43,18,41.9%,26,6,23.1%,9,8,88.9%,16,17,33,19,0,17,6,25,0ABA9VK1,DUC Dakar,62,2022
46,37,80.4%,15,22,100%,31,15,48.4%,15,10,66.7%,10,2,12,27,5,9,10,21,0fVNEJBR,Monastir,99,2021
36,25,69.4%,13,19,100%,23,6,26.1%,20,14,70%,13,0,13,16,7,1,5,13,0fVNEJBR,Rivers Hoopers,70,2021
68,29,42.6%,48,26,54.2%,20,3,15%,19,14,73.7%,12,22,34,12,3,17,9,18,0GdqWorn,Cape Town,75,2023
63,31,49.2%,40,22,55%,23,9,39.1%,22,20,90.9%,9,28,37,20,3,17,9,22,0GdqWorn,Al Ahly,91,2023
73,31,42.5%,48,25,52.1%,25,6,24%,21,10,47.6%,14,35,49,21,10,17,13,21,0p01tg83,Stade Malien,78,2023
67,23,34.3%,35,14,40%,32,9,28.1%,22,14,63.6%,12,34,46,15,3,19,6,17,0p01tg83,Cape Town,69,2023
73,40,54.8%,43,28,65.1%,30,12,40%,25,18,72%,12,31,43,29,4,17,6,24,0UZiM847,Cobra Sport,108,2022
78,28,35.9%,51,21,41.2%,27,7,25.9%,33,19,57.6%,24,26,50,12,2,18,8,22,0UZiM847,Espoir Fukash,82,2022
73,30,41.1%,49,23,46.9%,24,7,29.2%,14,6,42.9%,12,27,39,14,2,18,7,34,23HkAwKr,Petroliers,73,2021
68,27,39.7%,50,24,48%,18,3,16.7%,41,29,70.7%,19,36,55,24,3,16,8,15,23HkAwKr,Ferroviario Maputo,86,2021
73,29,39.7%,55,26,47.3%,18,3,16.7%,22,13,59.1%,19,30,49,16,5,19,11,21,27ot27T5,Douanes,74,2023
68,22,32.4%,44,19,43.2%,24,3,12.5%,20,11,55%,20,28,48,15,5,23,12,20,27ot27T5,Stade Malien,58,2023
66,24,36.4%,45,19,42.2%,21,5,23.8%,23,15,65.2%,11,32,43,10,2,19,10,27,2LQEG6ra,SLAC,68,2023
68,25,36.8%,49,20,40.8%,19,5,26.3%,30,20,66.7%,12,33,45,9,4,12,7,20,2LQEG6ra,Cape Town,75,2023
66,25,37.9%,41,19,46.3%,25,6,24%,11,9,81.8%,5,41,46,14,1,24,8,18,2XlXXBBo,Petro Atletico,65,2023
71,29,40.8%,44,23,52.3%,27,6,22.2%,20,9,45%,6,37,43,24,5,16,13,13,2XlXXBBo,Stade Malien,73,2023
