,Player,Team,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS,game_id
0,Diogu I.,ZAM,17,5,0,24:37,6,14,3,5,3,9,2,2,14,2,3,3,0,0,0,0,0,06e9UWdR
1,Strawberry D.,ZAM,14,4,1,26:00,6,12,4,5,2,7,0,3,9,2,2,1,3,3,0,0,0,06e9UWdR
2,Mahmoud A.,ZAM,10,11,2,25:22,5,7,5,7,0,0,0,0,16,1,10,1,1,0,6,0,0,06e9UWdR
3,Farag A.,ZAM,9,2,1,9:48,3,5,0,0,3,5,0,0,4,0,2,2,0,1,0,0,0,06e9UWdR
4,Sosa E.,ZAM,7,1,8,26:53,3,12,2,3,1,9,0,0,15,0,1,1,1,1,1,0,0,06e9UWdR
5,Elmekawi M.,ZAM,5,5,1,15:03,2,6,2,6,0,0,1,2,3,4,1,3,1,1,0,0,0,06e9UWdR
6,McKinney M.,ZAM,4,2,5,18:40,1,5,1,3,0,2,2,3,14,1,1,2,1,2,0,0,0,06e9UWdR
7,Wang P.,COB,4,2,3,27:52,1,6,1,5,0,1,2,4,-26,2,0,0,1,2,2,0,0,06e9UWdR
8,Elmashad H.,ZAM,2,0,0,5:18,1,1,1,1,0,0,0,0,-1,0,0,2,0,1,0,0,0,06e9UWdR
9,Hussein O.,ZAM,2,2,0,8:50,1,3,1,3,0,0,0,0,3,1,1,0,1,2,0,0,0,06e9UWdR
10,El Sayed A.,ZAM,0,1,0,5:09,0,1,0,1,0,0,0,1,-5,0,1,0,1,0,0,0,0,06e9UWdR
11,Wek N.,COB,0,4,1,23:13,0,4,0,1,0,3,0,0,-11,1,3,1,2,2,0,0,0,06e9UWdR
12,Yasser A.,ZAM,0,2,1,9:38,0,4,0,1,0,3,0,0,2,0,2,3,0,0,0,0,0,06e9UWdR
13,Majok A.,USM,20,13,1,36:19,9,12,9,12,0,0,2,5,15,4,9,4,1,3,4,0,0,0ABA9VK1
