,game_id,Team,year,region,PTS,REB,AST,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,OR,DR,PF,ST,TO,BS,BA,TFS
0,06e9UWdR,COB,2022,bal,4,6,4,1,10,1,6,0,4,2,4,3,3,1,3,4,2,0,0
1,06e9UWdR,ZAM,2022,bal,70,35,19,28,70,19,35,9,35,5,11,11,24,18,9,11,7,0,0
2,08MbGrhf,IGO,2021,euro,75,34,12,30,65,22,43,8,22,7,9,10,24,17,11,12,1,0,0
3,08MbGrhf,PAO,2021,euro,64,30,12,26,58,20,36,6,22,6,9,6,24,13,6,17,1,0,0
4,0ABA9VK1,DUC,2022,bal,62,28,19,24,69,18,43,6,26,8,9,13,15,25,6,15,0,7,0
5,0ABA9VK1,USM,2022,bal,74,42,17,26,59,22,35,4,24,18,24,14,28,11,5,19,7,0,0
6,0APDJvKI,DIJ,2023,euro,71,36,13,23,69,16,40,7,29,18,23,12,24,21,15,15,2,0,0
7,0APDJvKI,PRO,2023,euro,68,32,17,25,54,19,33,6,21,12,24,6,26,23,9,21,5,0,0
8,0C2vOES1,BUR,2023,euro,74,28,8,23,56,14,33,9,23,19,20,5,23,18,8,14,4,0,0
9,0C2vOES1,HAP,2023,euro,93,33,19,35,67,24,43,11,24,12,19,10,23,16,9,9,2,0,0
10,0GdqWorn,ALA,2023,bal,91,34,20,31,63,22,40,9,23,20,22,7,27,22,9,17,3,3,0
11,0GdqWorn,CAP,2023,bal,75,28,12,29,68,26,48,3,20,14,19,9,19,18,9,17,3,3,0
12,0OCEPdl2,DAR,2021,euro,75,28,18,26,55,19,34,7,21,16,23,8,20,19,6,8,7,0,0
13,0OCEPdl2,TOF,2021,euro,74,35,18,27,63,20,38,7,25,13,18,12,23,24,3,11,2,0,0
14,0UZiM847,COB,2022,bal,108,38,29,39,73,27,44,12,29,18,25,10,28,24,5,17,4,0,0
15,0UZiM847,ESP,2022,bal,82,45,12,28,77,21,50,7,27,19,33,22,23,22,8,15,2,0,0
16,0WEPlBLl,CLU,2021,euro,79,33,14,28,61,22,41,6,20,17,22,12,21,25,11,18,3,0,0
17,0WEPlBLl,UNI,2021,euro,73,24,17,23,57,13,27,10,30,17,23,8,16,21,7,16,7,0,0
18,0bHUtdO7,MAN,2021,euro,86,43,22,28,63,15,34,13,29,17,22,8,35,15,7,15,2,0,0
19,0bHUtdO7,UNI,2021,euro,63,33,14,23,69,16,40,7,29,10,13,10,23,25,6,18,5,0,0
20,0fNbWSjC,DIJ,2022,euro,89,27,22,35,60,28,40,7,20,12,14,2,25,22,7,15,0,0,0
21,0fNbWSjC,PER,2022,euro,80,27,17,30,64,23,40,7,24,13,18,8,19,18,11,12,4,0,0
22,0fVNEJBR,RIV,2021,bal,70,37,16,25,64,19,41,6,23,14,20,9,28,13,5,19,7,5,0
23,0fVNEJBR,USM,2021,bal,99,31,27,37,76,22,45,15,31,10,15,6,25,21,10,9,5,7,0
