,game_id,avg,pts_diff
0,8tn6R2oa,4.6,13
1,EJn2SrWh,6.2,29
2,l8svNr5b,8.2,41
3,YHYK3YSm,4.4,18
4,h4vzBLql,5.2,2
5,bsuWB1Us,4.8,24
6,YDnr9aE0,4.6,7
7,jkcwAuaf,7.4,29
8,WKQJFadL,10.6,33
9,IoUtVvd8,6.6,19
10,Wr966eJ7,7.6,22
11,pS6f9cZl,4.8,24
12,bVAb8Hle,4.0,16
13,hhA27y41,2.6,11
14,23HkAwKr,3.4,13
15,Aq9LNdlr,6.2,9
16,0fVNEJBR,7.4,29
17,42WhSxtR,4.0,2
18,jaSlTIQK,6.0,14
19,dxTpUbBE,4.4,6
20,hURFGusF,5.4,3
21,A5xBHLR8,9.6,18
22,bVY6I1C2,9.4,47
23,pSpPgIZ1,4.0,16
24,6ynLfbKe,4.8,18
25,l0iGev5k,5.0,23
26,fXYOlBV7,2.2,5
27,WlI7Df88,2.4,12
28,tWgA6fnl,6.2,11
29,Amw2CCIk,7.0,5
30,EgacajPa,5.4,9
31,fiqd1Cfm,4.8,2
32,8Gb1bAv6,3.4,11
33,z30g0W9g,3.6,8
34,4Y07eLW0,4.0,20
35,ppI4fun7,3.4,11
36,j3rFIiYd,5.4,1
37,lb4Wg8ed,3.6,10
38,OxSorBdp,4.4,6
39,Y5baGM8Q,4.8,18
40,IekJnilT,5.8,29
41,zDXSyzzB,3.8,19
42,IyNXzfkH,3.8,19
43,Qs23d1Hf,6.4,6
44,WK2acs2l,6.2,19
45,4hoFmXYM,4.8,12
46,M9TOxGK4,3.6,2
47,xO0Sfltj,6.8,10
48,r11OeUQq,2.4,12
49,AVoBlDJG,3.4,13
50,OzH8ga1D,7.0,11
51,xv5jIrvE,7.8,17
52,tjffheKi,3.2,2
53,SnUKwd5b,2.6,11
54,GpUW5Eli,6.0,28
55,ldVGvxjh,3.8,19
56,Wvm7kg4A,5.2,22
57,OGKi1j3M,6.0,18
58,E3h2jZl4,3.8,5
59,js9fH2gK,8.2,41
60,8pEJuIzn,3.8,1
61,thFd0AIS,4.8,14
62,zDgbiFZc,3.8,13
63,UgFFtbLu,5.0,9
64,pQLm2WmG,5.4,13
65,hYwALEkU,6.8,2
66,j3Mq3CY9,5.8,9
67,x0Iu4hJ3,4.6,5
68,IHbebNnr,2.4,12
69,fyTz5Y3c,2.6,9
70,d6p1NzLH,7.2,4
71,xKpRFkIF,5.8,1
72,UFjjgy5o,5.6,22
73,vVZ5MfzO,5.6,12
74,SAC7UiSp,5.6,16
75,ltsgPdj5,2.4,2
76,Q1QuZXJT,5.2,20
77,IFocOG5B,4.4,8
78,UgsJHBm3,4.4,12
79,bToNGV29,2.8,4
80,dSLyzE4N,3.4,1
81,2TQksVBj,2.2,7
82,pK6YCLPI,2.8,4
83,U3WkvJuF,2.8,10
84,xWndC3ib,3.0,15
85,8hQodi10,8.2,9
86,CSyouaQ8,2.2,5
87,xdQFadXB,5.6,4
88,CGVKNw44,5.6,8
89,rLNWceJL,4.6,3
90,ljApbDWm,3.6,18
91,bDRGOJlb,3.8,5
92,4jSCPaZi,3.6,18
93,tGg1DzJ8,3.8,11
94,CYWz8ZsM,4.0,12
95,QaT8QuKo,7.0,35
96,WEB1gzTS,3.2,6
97,Gr5TX10h,5.0,5
98,8xQcCfYE,5.8,7
99,GvFHG3Qg,6.2,1
100,K0D9AmLH,6.0,4
101,8tCB1XKk,5.8,29
102,t6OgfVVC,3.0,13
103,2eur3aEp,4.6,15
104,lrpQ1dso,3.0,3
105,hYZcCZGH,6.6,7
106,nmyXRljh,5.0,15
107,0dYRby4F,8.8,30
108,O8zu7gcS,6.4,24
109,QycAMYdF,8.0,40
110,nZcb6xZT,4.2,11
111,hCbf7IJN,3.6,18
112,fRui8b4H,4.4,18
113,pGhG7u6T,3.0,11
114,f9lT8Up6,3.2,6
115,hjNfzeMj,4.8,6
116,rNbVCMkn,4.8,16
117,YamX7l0C,5.6,28
118,jLLhEVLh,3.4,5
119,S055ktpo,4.0,6
120,lM6FkXQ1,5.6,24
121,YuiaoLUi,3.4,13
122,GS6I8RkU,2.4,12
123,nTO1BEmL,3.8,3
124,CUMlFB6n,5.0,3
125,C2jn9vkB,2.8,2
126,OEelTwFN,4.4,8
127,YBirAKZ4,8.4,22
128,UkixmY5d,3.8,19
129,YNcTlfyp,6.2,9
130,IsQZBfd7,5.4,11
131,dYOwBEBD,4.6,23
132,ETHXAUI9,3.8,7
133,OQDo9aup,6.0,14
134,EZdQRad6,3.4,17
135,db2LSus0,7.8,39
136,hQeUQJBC,2.6,3
137,I73HTLRg,8.6,13
138,t20SJz06,3.2,14
139,rHsPKGp0,6.4,4
140,lfrLLdVg,7.8,7
141,A3qHMxGm,6.0,30
142,hSlCNI0s,9.8,9
143,jJ2pSbhQ,3.0,13
144,dd3tTvwK,3.8,13
145,rgaxUKND,2.0,4
146,vLYeLSJD,6.2,3
147,0UZiM847,5.2,26
148,h4zlNlk1,8.0,24
149,EDypOUZf,7.6,36
150,WlnuPAKl,5.8,29
151,IoryQj5r,5.8,17
152,06e9UWdR,4.6,17
153,MFd5VCsL,5.8,5
154,4v20WhSE,3.0,5
155,Qm3dXYC8,2.0,10
156,CpFE8kz8,2.6,1
157,0ABA9VK1,2.4,12
158,IoM5AB5e,4.0,16
159,veN1Bijk,2.4,6
160,ALIcCXzq,4.0,6
161,8CWVGDSR,5.4,11
162,QmsRHgDL,3.2,2
163,CpwNIZcF,8.0,6
164,INwJJFr9,4.2,21
165,vXvFKeT2,4.0,6
166,hUJvdCj2,1.6,4
167,EwLzchyd,6.2,15
168,KtDqUX57,5.0,11
169,tjEuVDj1,4.4,20
170,4tmEVf9S,2.8,8
171,2sUB717q,2.2,7
